Text,Topic,Emotion
Đang Được tặng món quà chạy xe quanh Cần Thơ vui quá thật sự,Đời sống thường ngày,Vui vẻ
Hôm nay Vừa fix xong bug CentOS mừng rớt nước mắt :((,Khoa học & Công nghệ,Hào hứng
Nay Gánh team còng lưng trong Valorant quá,Giải trí & Gaming,Hào hứng
Tự nhiên Mới làm hỏng máy ảo VMware tốn mớ tiền chán,Khoa học & Công nghệ,Buồn rầu
"Nay Hôm nay xui xẻo, lỡ làm xem phim Donghua hỏng",Đời sống thường ngày,Buồn rầu
Tự nhiên Máy chủ máy ảo VMware bị sập chán quá thật sự,Khoa học & Công nghệ,Buồn rầu
Làm ván Valorant cho nhẹ đầu hihi,Giải trí & Gaming,Thư giãn
Gánh team còng lưng trong Minecraft mn ơi,Giải trí & Gaming,Hào hứng
Nay Máy chủ CentOS bị sập chán quá hihi,Khoa học & Công nghệ,Buồn rầu
Thề luôn Cày Minecraft giải trí sau giờ học,Giải trí & Gaming,Thư giãn
Thề luôn Bug mạng ảo Kathara fix cả đêm chưa xong trầm cảm :((,Khoa học & Công nghệ,Căng thẳng
Đang Nay mới tậu mạng ảo Kathara dùng sướng vãi haha,Khoa học & Công nghệ,Hào hứng
Đang Bug PSU 650W fix cả đêm chưa xong trầm cảm haha,Khoa học & Công nghệ,Căng thẳng
Gặp team tạ trong Minecraft ức chế thật hihi,Giải trí & Gaming,Căng thẳng
Nay Được tặng món quà ăn quán vỉa hè vui quá ae ạ,Đời sống thường ngày,Vui vẻ
"Nay Hôm nay xui xẻo, lỡ làm nghe nhạc hỏng :((",Đời sống thường ngày,Buồn rầu
Tự nhiên Cuối tuần ngồi chơi Valorant chill chill :((,Giải trí & Gaming,Thư giãn
Pha ly cà phê ngồi chạy xe quanh Cần Thơ ngắm phố phường ae ạ,Đời sống thường ngày,Thư giãn
Nay Mới được nhận lương đi nghe nhạc thôi quá,Đời sống thường ngày,Vui vẻ
Nay Thầy chấm bảo vệ đề tài gắt quá ae ạ,Học tập,Buồn rầu
Cuối cùng cũng qua môn CT179,Học tập,Hào hứng
Đang Thầy chấm viết báo cáo gắt quá ae ạ,Học tập,Buồn rầu
Tự nhiên Mai thi môn cấu hình Router mà chưa chữ nào vào đầu thật sự,Học tập,Căng thẳng
Tự nhiên Vừa fix xong bug Ubuntu dual boot mừng rớt nước mắt :((,Khoa học & Công nghệ,Hào hứng
Nay Được tặng món quà nghe nhạc vui quá hihi,Đời sống thường ngày,Vui vẻ
Hôm nay Mới làm hỏng CentOS tốn mớ tiền thật sự,Khoa học & Công nghệ,Buồn rầu
Nay Được tặng món quà uống cà phê vui quá,Đời sống thường ngày,Vui vẻ
Đạt điểm A môn thực tập mạng sung sướng quá mn ơi,Học tập,Hào hứng
Cài đặt lab cho đồ án niên luận phức tạp ghê :((,Học tập,Căng thẳng
Đang Đọc liền tù tì bộ Wuthering Waves cuốn quá,Giải trí & Gaming,Thư giãn
Mở được nhân vật xịn trong Return of the Disaster-Class Hero bá cháy chán,Giải trí & Gaming,Hào hứng
Thề luôn Vừa fix xong bug CentOS mừng rớt nước mắt,Khoa học & Công nghệ,Hào hứng
"Nay Hôm nay xui xẻo, lỡ làm ăn quán vỉa hè hỏng chán",Đời sống thường ngày,Buồn rầu
Đang Nay mới tậu CentOS dùng sướng vãi quá,Khoa học & Công nghệ,Hào hứng
Đang Cuối tuần ngồi chơi chuột FPS chill chill mn ơi,Giải trí & Gaming,Thư giãn
Đang Deadline môn Quản trị hệ thống dí sấp mặt,Học tập,Căng thẳng
Thề luôn Làm bài tập CT179 với team mệt mỏi quá :((,Học tập,Căng thẳng
Trời mưa ngập đường không đi chạy xe quanh Cần Thơ được chán quá hihi,Đời sống thường ngày,Buồn rầu
Hôm nay Lỡ tay xóa mất database Firebase không cứu được hihi,Khoa học & Công nghệ,Buồn rầu
Hôm nay Cày Return of the Disaster-Class Hero giải trí sau giờ học thật sự,Giải trí & Gaming,Thư giãn
Tự nhiên Bị điểm thấp bài kiểm tra đồ án niên luận chán chả buồn nói haha,Học tập,Buồn rầu
Đang Máy chủ CentOS bị sập chán quá :((,Khoa học & Công nghệ,Buồn rầu
Tự nhiên Đi chơi Minecraft với anh em cười đau bụng,Giải trí & Gaming,Hào hứng
Hôm nay Mới làm hỏng server Linux tốn mớ tiền ae ạ,Khoa học & Công nghệ,Buồn rầu
Cấu hình database Firebase khó quá nhức hết cả đầu thật sự,Khoa học & Công nghệ,Căng thẳng
Đang Chơi truyện Manhwa bị giật lag ping cao bực mình mn ơi,Giải trí & Gaming,Căng thẳng
Tự nhiên Hôm nay trời đẹp đi ăn quán vỉa hè quá xá đã quá,Đời sống thường ngày,Vui vẻ
Nay Máy chủ PSU 650W bị sập chán quá :((,Khoa học & Công nghệ,Buồn rầu
"Rớt môn viết báo cáo rồi, buồn quá mn ơi",Học tập,Buồn rầu
Đang Cày Minecraft giải trí sau giờ học ae ạ,Giải trí & Gaming,Thư giãn
Nay Cày rank Kim Cương giải trí sau giờ học,Giải trí & Gaming,Thư giãn
Giải được bài cấu hình Router khó nhất lớp mn ơi,Học tập,Hào hứng
Thề luôn Trời mưa nằm nhà uống cà phê là sướng nhất,Đời sống thường ngày,Thư giãn
Đang Cuối tuần ngồi chơi rank Kim Cương chill chill,Giải trí & Gaming,Thư giãn
Nay Vừa thắng chuỗi trận rank Kim Cương cảm giác yomost haha,Giải trí & Gaming,Hào hứng
Hôm nay Hệ thống máy ảo VMware đang báo lỗi đỏ lòm quá,Khoa học & Công nghệ,Căng thẳng
Đang Deadline môn thực tập mạng dí sấp mặt :((,Học tập,Căng thẳng
Test thành công hệ thống PSU 650W chán,Khoa học & Công nghệ,Hào hứng
Hôm nay Ping chuột FPS nhảy lên 999ms nản luôn,Giải trí & Gaming,Căng thẳng
Tự nhiên Giải được bài cấu hình Router khó nhất lớp ae ạ,Học tập,Hào hứng
Đang Lỡ tay xóa mất PSU 650W không cứu được ae ạ,Khoa học & Công nghệ,Buồn rầu
Đang Mới làm hỏng code PHP tốn mớ tiền quá,Khoa học & Công nghệ,Buồn rầu
Hôm nay Mở được nhân vật xịn trong rank Kim Cương bá cháy hihi,Giải trí & Gaming,Hào hứng
Nay Gặp lại bạn cũ đi ngủ nướng cười thả ga haha,Đời sống thường ngày,Vui vẻ
Gặp team tạ trong Minecraft ức chế thật haha,Giải trí & Gaming,Căng thẳng
Hôm nay Mới làm hỏng database Firebase tốn mớ tiền haha,Khoa học & Công nghệ,Buồn rầu
Làm bài tập Quản trị hệ thống với team mệt mỏi quá :((,Học tập,Căng thẳng
Nay Pha ly cà phê ngồi ăn mì tôm ngắm phố phường quá,Đời sống thường ngày,Thư giãn
Thề luôn Thuyết trình Quản trị hệ thống thành công rực rỡ ae ạ,Học tập,Hào hứng
Bug CentOS fix cả đêm chưa xong trầm cảm haha,Khoa học & Công nghệ,Căng thẳng
Làm đồ án với mạng ảo Kathara mà code không chạy chán,Khoa học & Công nghệ,Căng thẳng
Hôm nay Máy chủ code React bị sập chán quá thật sự,Khoa học & Công nghệ,Buồn rầu
Thề luôn Ping chuột FPS nhảy lên 999ms nản luôn thật sự,Giải trí & Gaming,Căng thẳng
Đang Đọc liền tù tì bộ rank Kim Cương cuốn quá :((,Giải trí & Gaming,Thư giãn
Thề luôn Làm ván Return of the Disaster-Class Hero cho nhẹ đầu quá,Giải trí & Gaming,Thư giãn
Hôm nay Vừa thắng chuỗi trận truyện Manhwa cảm giác yomost thật sự,Giải trí & Gaming,Hào hứng
Hôm nay Máy chủ database Firebase bị sập chán quá :((,Khoa học & Công nghệ,Buồn rầu
