Text,Topic,Emotion
Thề luôn Vừa thắng chuỗi trận Minecraft cảm giác yomost ae ạ,Giải trí & Gaming,Hào hứng
Cuối cùng cũng qua môn Cấu trúc dữ liệu mn ơi,Học tập,Hào hứng
Gặp chuyện bực mình lúc đi siêu thị quá,Đời sống thường ngày,Căng thẳng
Đang Lỡ tay xóa mất CentOS không cứu được hihi,Khoa học & Công nghệ,Buồn rầu
"Buồn cười quá Rớt môn đồ án niên luận rồi, buồn quá vãi",Học tập,Buồn rầu
Thề luôn Cuối tuần đi chạy xe quanh Cần Thơ hít thở không khí trong lành mn ơi,Đời sống thường ngày,Thư giãn
Nay Thầy khen bài tập viết báo cáo làm xuất sắc hihi,Học tập,Hào hứng
Hôm nay Sáng sớm dậy tập gym thấy lòng bình yên hihi,Đời sống thường ngày,Thư giãn
Hôm nay Chơi Return of the Disaster-Class Hero bị giật lag ping cao bực mình quá,Giải trí & Gaming,Căng thẳng
"Hôm nay xui xẻo, lỡ làm nghe nhạc hỏng chán",Đời sống thường ngày,Buồn rầu
Nay Mới được nhận lương đi chạy xe quanh Cần Thơ thôi vãi,Đời sống thường ngày,Vui vẻ
Sáng ra Bug server Linux fix cả đêm chưa xong trầm cảm :((,Khoa học & Công nghệ,Căng thẳng
Buồn cười quá Thầy chấm bảo vệ đề tài gắt quá thật sự,Học tập,Buồn rầu
Hôm nay Đạt điểm A môn cấu hình Router sung sướng quá mn ơi,Học tập,Hào hứng
Buồn cười quá Học bài tập nhóm khó hiểu quá chắc tạch ae ạ,Học tập,Buồn rầu
Đang Chơi phim hoạt hình bị giật lag ping cao bực mình :v,Giải trí & Gaming,Căng thẳng
Thề luôn Thuyết trình bài tập nhóm thành công rực rỡ :v,Học tập,Hào hứng
Hôm nay Cuối tuần đi ngủ nướng hít thở không khí trong lành chán,Đời sống thường ngày,Thư giãn
Buồn cười quá Đang code ngon thì Ubuntu dual boot dở chứng vãi,Khoa học & Công nghệ,Buồn rầu
"Sáng ra Cuối tháng hết tiền, phải nấu ăn cho qua ngày chán",Đời sống thường ngày,Buồn rầu
Hôm nay Bị điểm thấp bài kiểm tra thực tập mạng chán chả buồn nói chán,Học tập,Buồn rầu
Buồn cười quá Bị điểm thấp bài kiểm tra bảo vệ đề tài chán chả buồn nói,Học tập,Buồn rầu
Tự nhiên Bị khóa acc Đấu Trường Chân Lý oan ức quá hihi,Giải trí & Gaming,Buồn rầu
Đang Đang code ngon thì máy ảo VMware dở chứng,Khoa học & Công nghệ,Buồn rầu
Đang Test thành công hệ thống server Linux quá,Khoa học & Công nghệ,Hào hứng
Sáng ra Bị điểm thấp bài kiểm tra bài tập nhóm chán chả buồn nói :v,Học tập,Buồn rầu
Tự nhiên Gánh team còng lưng trong OBS stream,Giải trí & Gaming,Hào hứng
"Hôm nay Làm sai bét câu cuối môn Toán rời rạc, tiếc đứt ruột ae ạ",Học tập,Buồn rầu
"Buồn cười quá Rớt môn viết báo cáo rồi, buồn quá hihi",Học tập,Buồn rầu
Sáng ra Deadline môn Quản trị hệ thống dí sấp mặt vãi,Học tập,Căng thẳng
Sáng ra Lỡ tay xóa mất CentOS không cứu được hihi,Khoa học & Công nghệ,Buồn rầu
"Sáng ra Màn hình xanh vì router mạng, hoang mang tột độ chán",Khoa học & Công nghệ,Căng thẳng
Đang Mới được nhận lương đi dạo phố thôi hihi,Đời sống thường ngày,Vui vẻ
Hôm nay Học bảo vệ đề tài khó hiểu quá chắc tạch,Học tập,Buồn rầu
Nay Cuối cùng cũng qua môn cấu hình Router chán,Học tập,Hào hứng
Cấu hình router mạng khó quá nhức hết cả đầu hihi,Khoa học & Công nghệ,Căng thẳng
Đang Đạt điểm A môn thực tập mạng sung sướng quá vãi,Học tập,Hào hứng
"Thề luôn Cuối tháng hết tiền, phải ăn quán vỉa hè cho qua ngày chán",Đời sống thường ngày,Buồn rầu
Buồn cười quá Chuỗi thua truyện Manhwa tụt rank thảm hại vãi,Giải trí & Gaming,Căng thẳng
Tự nhiên Gặp lại bạn cũ đi uống cà phê cười thả ga :((,Đời sống thường ngày,Vui vẻ
Thề luôn Giải được bài bảo vệ đề tài khó nhất lớp mn ơi,Học tập,Hào hứng
Nay Mai thi môn Cấu trúc dữ liệu mà chưa chữ nào vào đầu vãi,Học tập,Căng thẳng
Thề luôn Đi làm về mệt mà còn phải ăn quán vỉa hè,Đời sống thường ngày,Căng thẳng
Tự nhiên Xung đột driver code PHP sửa mãi không được thật sự,Khoa học & Công nghệ,Căng thẳng
Sáng ra Trời mưa nằm nhà uống cà phê là sướng nhất hihi,Đời sống thường ngày,Thư giãn
Buồn cười quá Học thực tập mạng khó hiểu quá chắc tạch :((,Học tập,Buồn rầu
Sáng ra Hệ thống code React đang báo lỗi đỏ lòm ae ạ,Khoa học & Công nghệ,Căng thẳng
Nay Bị điểm thấp bài kiểm tra đồ án niên luận chán chả buồn nói chán,Học tập,Buồn rầu
Đang Ăn trúng quán nghe nhạc ngon bá cháy haha,Đời sống thường ngày,Vui vẻ
"Chưa làm xong báo cáo đồ án niên luận, toang rồi thật sự",Học tập,Căng thẳng
Đang Làm ván Return of the Disaster-Class Hero cho nhẹ đầu,Giải trí & Gaming,Thư giãn
Hệ thống server Linux đang báo lỗi đỏ lòm quá,Khoa học & Công nghệ,Căng thẳng
Đang Làm đồ án với code React mà code không chạy haha,Khoa học & Công nghệ,Căng thẳng
Hôm nay Thầy khen bài tập cấu hình Router làm xuất sắc chán,Học tập,Hào hứng
Tự nhiên Cuối tuần ngồi chơi board game chill chill vãi,Giải trí & Gaming,Thư giãn
Nay Lỡ tay xóa mất server Linux không cứu được,Khoa học & Công nghệ,Buồn rầu
Đang Trời mưa nằm nhà xem phim Donghua là sướng nhất haha,Đời sống thường ngày,Thư giãn
Thề luôn Giải được bài thi cuối kỳ khó nhất lớp haha,Học tập,Hào hứng
Đang Cày Đấu Trường Chân Lý giải trí sau giờ học hihi,Giải trí & Gaming,Thư giãn
Tự nhiên Đang code ngon thì database Firebase dở chứng mn ơi,Khoa học & Công nghệ,Buồn rầu
